country,year,state,city,refugees
Afghanistan,2002,Alabama,Mobile,10
Croatia,2002,Alabama,Mobile,3
Cuba,2002,Alabama,Mobile,4
Iran,2002,Alabama,Birmingham,1
Iran,2002,Alabama,Mobile,1
Serbia,2002,Alabama,Mobile,5
Sierra Leone,2002,Alabama,Mobile,2
Sudan,2002,Alabama,Mobile,1
Ukraine,2002,Alabama,Huntsville,2
Vietnam,2002,Alabama,Mobile,7
Vietnam,2002,Alabama,Prattville,3
Bosnia and Herzegovina,2002,Alaska,Anchorage,1
Moldova,2002,Alaska,Delta Junction,12
Russia,2002,Alaska,Palmer,5
Ukraine,2002,Alaska,Delta Junction,11
Ukraine,2002,Alaska,Wasilla,2
Afghanistan,2002,Arizona,Chandler,4
Afghanistan,2002,Arizona,Phoenix,142
Afghanistan,2002,Arizona,Tucson,52
Angola,2002,Arizona,Phoenix,1
Belarus,2002,Arizona,Tucson,2
Bosnia and Herzegovina,2002,Arizona,Glendale,6
Bosnia and Herzegovina,2002,Arizona,Phoenix,44
Bosnia and Herzegovina,2002,Arizona,Scottsdale,6
Bosnia and Herzegovina,2002,Arizona,Tempe,2
Bosnia and Herzegovina,2002,Arizona,Tucson,18
Burma,2002,Arizona,Phoenix,10
Burundi,2002,Arizona,Phoenix,12
Burundi,2002,Arizona,Tucson,1
Cameroon,2002,Arizona,Phoenix,2
Colombia,2002,Arizona,Phoenix,2
Congo,2002,Arizona,Phoenix,2
Congo,2002,Arizona,Tucson,2
Croatia,2002,Arizona,Chandler,3
Croatia,2002,Arizona,Phoenix,7
Croatia,2002,Arizona,Tucson,9
Cuba,2002,Arizona,Glendale,1
Cuba,2002,Arizona,Phoenix,61
Dem. Rep. Congo,2002,Arizona,Glendale,2
Dem. Rep. Congo,2002,Arizona,Phoenix,1
Ethiopia,2002,Arizona,Phoenix,16
Ethiopia,2002,Arizona,Tucson,5
Iran,2002,Arizona,Glendale,3
Iran,2002,Arizona,Paradise Valley,2
Iran,2002,Arizona,Phoenix,24
Iran,2002,Arizona,Scottsdale,9
Iran,2002,Arizona,Tucson,3
Iraq,2002,Arizona,Glendale,6
Iraq,2002,Arizona,Mesa,5
Iraq,2002,Arizona,Phoenix,29
Iraq,2002,Arizona,Tucson,7
Liberia,2002,Arizona,Phoenix,12
Nigeria,2002,Arizona,Phoenix,2
Russia,2002,Arizona,Phoenix,4
Russia,2002,Arizona,Tucson,10
Rwanda,2002,Arizona,Glendale,2
Serbia,2002,Arizona,Gilbert,4
Serbia,2002,Arizona,Glendale,4
Serbia,2002,Arizona,Phoenix,184
Serbia,2002,Arizona,Scottsdale,4
Serbia,2002,Arizona,Tucson,36
Serbia,2002,Arizona,Wickenburg,1
Sierra Leone,2002,Arizona,Phoenix,3
Somalia,2002,Arizona,Phoenix,2
Somalia,2002,Arizona,Tucson,1
Sudan,2002,Arizona,Glendale,7
Sudan,2002,Arizona,Phoenix,62
Sudan,2002,Arizona,Tucson,16
Syria,2002,Arizona,Glendale,1
Togo,2002,Arizona,Phoenix,1
Ukraine,2002,Arizona,Phoenix,1
Ukraine,2002,Arizona,Tucson,25
Uzbekistan,2002,Arizona,Phoenix,2
Vietnam,2002,Arizona,Phoenix,28
Vietnam,2002,Arizona,Tempe,8
Vietnam,2002,Arizona,Tucson,12
Zambia,2002,Arizona,Glendale,1
Afghanistan,2002,California,Burbank,6
Afghanistan,2002,California,Canoga Park,2
Afghanistan,2002,California,Concord,6
Afghanistan,2002,California,Fontana,1
Afghanistan,2002,California,Fremont,22
Afghanistan,2002,California,Garden Grove,5
Afghanistan,2002,California,Hayward,13
Afghanistan,2002,California,Irvine,6
Afghanistan,2002,California,La Mesa,8
Afghanistan,2002,California,Los Angeles,8
